tod,username,block,trial,condition,start_point_x,end_point_x,start_time,end_time,elapsedTimeMillis,width,amplitude,optimal_path,fitts_distance,distance_travelled,practice,selection,errors,undershoots,overshoots,direction_changes
1540804687419,-1,1,1,Simple,225.0,275.115,1540804687419,1540804690816,1397,50.0,50.0,25.0,50.0,211.0,true,DWELL,1,0,1,2
1540804692917,-1,1,2,Simple,275.0,232.95288,1540804692917,1540804695730,813,50.0,50.0,25.0,50.0,42.0,true,DWELL,0,0,0,0
1540804696725,-1,1,3,Simple,225.0,264.27426,1540804696725,1540804699729,1004,50.0,50.0,25.0,50.0,39.0,true,DWELL,0,0,0,1
1540804700742,-1,1,4,Simple,275.0,221.73068,1540804700742,1540804703220,478,50.0,50.0,25.0,50.0,53.0,true,DWELL,0,0,0,1
1540804704210,-1,1,5,Simple,225.0,262.7234,1540804704210,1540804706868,658,50.0,50.0,25.0,50.0,38.0,true,DWELL,0,0,0,1
1540804707864,-1,1,6,Simple,275.0,233.73154,1540804707864,1540804710350,486,50.0,50.0,25.0,50.0,41.0,true,DWELL,0,0,0,1
1557861249906,-1,1,1,Simple,225.0,295.65295,1557861249906,1557861261789,9883,50.0,50.0,25.0,50.0,212.0,true,DWELL,4,4,0,3
1557861263393,-1,1,2,Simple,275.0,231.26245,1557861263393,1557861271133,5740,50.0,50.0,25.0,50.0,44.0,true,DWELL,0,0,0,1
1557861272402,-1,1,3,Simple,225.0,252.46346,1557861272402,1557861278929,4527,50.0,50.0,25.0,50.0,28.0,true,DWELL,0,0,0,3
1557861281320,-1,1,4,Simple,275.0,239.41812,1557861281320,1557861286178,2858,50.0,50.0,25.0,50.0,36.0,true,DWELL,0,0,0,1
1557861287973,-1,1,5,Simple,225.0,294.2694,1557861287973,1557861290863,890,50.0,50.0,25.0,50.0,69.0,true,DWELL,0,0,0,1
1557861292307,-1,1,6,Simple,275.0,230.64998,1557861292307,1557861296385,2078,50.0,50.0,25.0,50.0,44.0,true,DWELL,0,0,0,1
1559764574589,-1,1,1,Simple,225.0,269.10583,1559764574589,1559764588055,11466,50.0,50.0,25.0,50.0,960.0,true,DWELL,5,1,3,30
1559764589083,-1,1,2,Simple,274.7835,242.16245,1559764589082,1559764591399,317,50.0,50.0,25.0,50.0,36.0,true,DWELL,0,0,0,1
1559764592404,-1,1,3,Simple,225.0,285.3384,1559764592404,1559764595660,1256,50.0,50.0,25.0,50.0,172.0,true,DWELL,1,0,1,1
1559764596664,-1,1,4,Simple,275.0,243.43596,1559764596664,1559764599931,1267,50.0,50.0,25.0,50.0,43.0,true,DWELL,0,0,0,1
1559764600930,-1,1,5,Simple,225.74284,259.05408,1559764600930,1559764624758,21828,50.0,50.0,24.0,49.0,1216.0,true,DWELL,2,0,1,36
1559764625771,-1,1,6,Simple,276.32483,206.85632,1559764625771,1559764634157,6386,50.0,50.0,26.0,51.0,680.0,true,DWELL,2,0,1,21
1559765149546,-1,1,1,Simple,225.0,284.21323,1559765149546,1559765153253,1707,50.0,50.0,25.0,50.0,59.0,true,DWELL,0,0,0,1
1559765154255,-1,1,2,Simple,275.0,214.44504,1559765154255,1559765158159,1904,50.0,50.0,25.0,50.0,102.0,true,DWELL,1,0,1,2
1559765159151,-1,1,3,Simple,225.0,285.34888,1559765159151,1559765164383,3232,50.0,50.0,25.0,50.0,180.0,true,DWELL,2,0,0,3
1559765165402,-1,1,4,Simple,275.0,223.34607,1559765165402,1559765167969,567,50.0,50.0,25.0,50.0,52.0,true,DWELL,0,0,0,0
1559765168992,-1,1,5,Simple,225.0,274.93735,1559765168992,1559765171478,486,50.0,50.0,25.0,50.0,50.0,true,DWELL,0,0,0,1
1559765172493,-1,1,6,Simple,275.0,246.05496,1559765172493,1559765174781,288,50.0,50.0,25.0,50.0,29.0,true,DWELL,0,0,0,1
1559765217115,-1,2,1,Simple,200.0,295.06668,1559765217115,1559765220690,1575,50.0,75.0,50.0,75.0,106.0,true,DWELL,1,1,0,3
1559765221685,-1,2,2,Simple,300.0,185.6333,1559765221685,1559765224889,1204,50.0,50.0,50.0,75.0,139.0,true,DWELL,1,0,1,1
1559765225939,-1,2,3,Simple,200.0,322.83167,1559765225929,1559765228374,445,50.0,50.0,50.0,75.0,148.0,true,DWELL,1,0,1,1
1559765229358,-1,2,4,Simple,300.0,190.65271,1559765229358,1559765232682,1324,50.0,50.0,50.0,75.0,134.0,true,DWELL,3,2,1,1
1559765233667,-1,2,5,Simple,200.0,311.28073,1559765233667,1559765238589,2922,50.0,50.0,50.0,75.0,327.0,true,DWELL,2,1,1,2
1559765239590,-1,2,6,Simple,300.0,216.79413,1559765239590,1559765243851,2261,50.0,50.0,50.0,75.0,254.0,true,DWELL,1,1,0,2
1559765343991,-1,3,1,Simple,150.0,360.19684,1559765343991,1559765347334,1343,50.0,200.0,175.0,200.0,213.0,true,DWELL,0,0,0,5
1559765348352,-1,3,2,Simple,350.0,166.66284,1559765348352,1559765351880,1528,50.0,200.0,175.0,200.0,183.0,true,DWELL,1,1,0,1
1559765352905,-1,3,3,Simple,150.0,334.17416,1559765352905,1559765356501,1596,50.0,200.0,175.0,200.0,184.0,true,DWELL,1,1,0,3
1559765357579,-1,3,4,Simple,350.0,160.6168,1559765357579,1559765360956,1377,50.0,200.0,175.0,200.0,189.0,true,DWELL,1,1,0,1
1559765361983,-1,3,5,Simple,150.0,345.0528,1559765361983,1559765366042,2059,50.0,200.0,175.0,200.0,195.0,true,DWELL,2,2,0,1
1559765367054,-1,3,6,Simple,350.0,134.57208,1559765367054,1559765370533,1479,50.0,200.0,175.0,200.0,215.0,true,DWELL,2,2,0,1
